Transaction ID,Transaction Type,Transaction Created Date,Transaction Modified Date,Product ID,Quantity,Purchase Order ID,Customer Order ID,Comments
35,1,"03/22/06 16:02:28","03/22/06 16:02:28",80,75,,,
36,1,"03/22/06 16:02:48","03/22/06 16:02:48",72,40,,,
37,1,"03/22/06 16:03:04","03/22/06 16:03:04",52,100,,,
38,1,"03/22/06 16:03:09","03/22/06 16:03:09",56,120,,,
39,1,"03/22/06 16:03:14","03/22/06 16:03:14",57,80,,,
40,1,"03/22/06 16:03:40","03/22/06 16:03:40",6,100,,,
41,1,"03/22/06 16:03:47","03/22/06 16:03:47",7,40,,,
42,1,"03/22/06 16:03:54","03/22/06 16:03:54",8,40,,,
43,1,"03/22/06 16:04:02","03/22/06 16:04:02",14,40,,,
44,1,"03/22/06 16:04:07","03/22/06 16:04:07",17,40,,,
45,1,"03/22/06 16:04:12","03/22/06 16:04:12",19,20,,,
46,1,"03/22/06 16:04:17","03/22/06 16:04:17",20,40,,,
47,1,"03/22/06 16:04:20","03/22/06 16:04:20",21,20,,,
48,1,"03/22/06 16:04:24","03/22/06 16:04:24",40,120,,,
49,1,"03/22/06 16:04:28","03/22/06 16:04:28",41,40,,,
50,1,"03/22/06 16:04:31","03/22/06 16:04:31",48,100,,,
51,1,"03/22/06 16:04:38","03/22/06 16:04:38",51,40,,,
52,1,"03/22/06 16:04:41","03/22/06 16:04:41",74,20,,,
53,1,"03/22/06 16:04:45","03/22/06 16:04:45",77,60,,,
54,1,"03/22/06 16:05:07","03/22/06 16:05:07",3,100,,,
55,1,"03/22/06 16:05:11","03/22/06 16:05:11",4,40,,,
56,1,"03/22/06 16:05:14","03/22/06 16:05:14",5,40,,,
57,1,"03/22/06 16:05:26","03/22/06 16:05:26",65,40,,,
58,1,"03/22/06 16:05:32","03/22/06 16:05:32",66,80,,,
59,1,"03/22/06 16:05:47","03/22/06 16:05:47",1,40,,,
60,1,"03/22/06 16:05:51","03/22/06 16:05:51",34,60,,,
61,1,"03/22/06 16:06:00","03/22/06 16:06:00",43,100,,,
62,1,"03/22/06 16:06:03","03/22/06 16:06:03",81,125,,,
63,2,"03/22/06 16:07:56","03/24/06 11:03:00",80,30,,,
64,2,"03/22/06 16:08:19","03/22/06 16:08:59",7,10,,,
65,2,"03/22/06 16:08:29","03/22/06 16:08:59",51,10,,,
66,2,"03/22/06 16:08:37","03/22/06 16:08:59",80,10,,,
67,2,"03/22/06 16:09:46","03/22/06 16:10:27",1,15,,,
68,2,"03/22/06 16:10:06","03/22/06 16:10:27",43,20,,,
69,2,"03/22/06 16:11:39","03/24/06 11:00:55",19,20,,,
70,2,"03/22/06 16:11:56","03/24/06 10:59:41",48,10,,,
71,2,"03/22/06 16:12:29","03/24/06 10:57:38",8,17,,,
72,1,"03/24/06 10:41:30","03/24/06 10:41:30",81,200,,,
73,2,"03/24/06 10:41:33","03/24/06 10:41:42",81,200,,,"Fill Back Ordered product, Order #40"
74,1,"03/24/06 10:53:13","03/24/06 10:53:13",48,100,,,
75,2,"03/24/06 10:53:16","03/24/06 10:55:46",48,100,,,"Fill Back Ordered product, Order #39"
76,1,"03/24/06 10:53:36","03/24/06 10:53:36",43,300,,,
77,2,"03/24/06 10:53:39","03/24/06 10:56:57",43,300,,,"Fill Back Ordered product, Order #38"
78,1,"03/24/06 10:54:04","03/24/06 10:54:04",41,200,,,
79,2,"03/24/06 10:54:07","03/24/06 10:58:40",41,200,,,"Fill Back Ordered product, Order #36"
80,1,"03/24/06 10:54:33","03/24/06 10:54:33",19,30,,,
81,2,"03/24/06 10:54:35","03/24/06 11:02:02",19,30,,,"Fill Back Ordered product, Order #33"
82,1,"03/24/06 10:54:58","03/24/06 10:54:58",34,100,,,
83,2,"03/24/06 10:55:02","03/24/06 11:03:00",34,100,,,"Fill Back Ordered product, Order #30"
84,2,"03/24/06 14:48:15","04/04/06 11:41:14",6,10,,,
85,2,"03/24/06 14:48:23","04/04/06 11:41:14",4,10,,,
86,3,"03/24/06 14:49:16","03/24/06 14:49:16",80,20,,,
87,3,"03/24/06 14:49:20","03/24/06 14:49:20",81,50,,,
88,3,"03/24/06 14:50:09","03/24/06 14:50:09",1,25,,,
89,3,"03/24/06 14:50:14","03/24/06 14:50:14",43,25,,,
90,3,"03/24/06 14:50:18","03/24/06 14:50:18",81,25,,,
91,2,"03/24/06 14:51:03","04/04/06 11:09:24",40,50,,,
92,2,"03/24/06 14:55:03","04/04/06 11:06:56",21,20,,,
93,2,"03/24/06 14:55:39","04/04/06 11:06:13",5,25,,,
94,2,"03/24/06 14:55:52","04/04/06 11:06:13",41,30,,,
95,2,"03/24/06 14:56:09","04/04/06 11:06:13",40,30,,,
96,3,"03/30/06 16:46:34","03/30/06 16:46:34",34,12,,,
97,3,"03/30/06 17:23:27","03/30/06 17:23:27",34,10,,,
98,3,"03/30/06 17:24:33","03/30/06 17:24:33",34,1,,,
99,2,"04/03/06 13:50:08","04/03/06 13:50:15",48,10,,,
100,1,"04/04/06 11:00:54","04/04/06 11:00:54",57,100,,,
101,2,"04/04/06 11:00:56","04/04/06 11:08:49",57,100,,,"Fill Back Ordered product, Order #46"
102,1,"04/04/06 11:01:14","04/04/06 11:01:14",34,50,,,
103,1,"04/04/06 11:01:35","04/04/06 11:01:35",43,250,,,
104,3,"04/04/06 11:01:37","04/04/06 11:01:37",43,300,,,"Fill Back Ordered product, Order #41"
105,1,"04/04/06 11:01:55","04/04/06 11:01:55",8,25,,,
106,2,"04/04/06 11:01:58","04/04/06 11:07:37",8,25,,,"Fill Back Ordered product, Order #48"
107,1,"04/04/06 11:02:17","04/04/06 11:02:17",34,300,,,
108,2,"04/04/06 11:02:19","04/04/06 11:08:14",34,300,,,"Fill Back Ordered product, Order #47"
109,1,"04/04/06 11:02:37","04/04/06 11:02:37",19,25,,,
110,2,"04/04/06 11:02:39","04/04/06 11:41:14",19,10,,,"Fill Back Ordered product, Order #42"
111,1,"04/04/06 11:02:56","04/04/06 11:02:56",19,10,,,
112,2,"04/04/06 11:02:58","04/04/06 11:07:37",19,25,,,"Fill Back Ordered product, Order #48"
113,1,"04/04/06 11:03:12","04/04/06 11:03:12",72,50,,,
114,2,"04/04/06 11:03:14","04/04/06 11:08:49",72,50,,,"Fill Back Ordered product, Order #46"
115,1,"04/04/06 11:03:38","04/04/06 11:03:38",41,50,,,
116,2,"04/04/06 11:03:39","04/04/06 11:09:24",41,50,,,"Fill Back Ordered product, Order #45"
117,2,"04/04/06 11:04:55","04/04/06 11:05:04",34,87,,,
118,2,"04/04/06 11:35:50","04/04/06 11:35:54",51,30,,,
119,2,"04/04/06 11:35:51","04/04/06 11:35:54",7,30,,,
120,2,"04/04/06 11:36:15","04/04/06 11:36:21",17,40,,,
121,2,"04/04/06 11:36:39","04/04/06 11:36:47",6,90,,,
122,2,"04/04/06 11:37:06","04/04/06 11:37:09",4,30,,,
123,2,"04/04/06 11:37:45","04/04/06 11:37:49",48,40,,,
124,2,"04/04/06 11:38:07","04/04/06 11:38:11",48,40,,,
125,2,"04/04/06 11:38:27","04/04/06 11:38:32",41,10,,,
126,2,"04/04/06 11:38:48","04/04/06 11:38:53",43,5,,,
